City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
168,itoman,1,JP,1539132960,73,26.12,127.67,78.8,9.17
169,lake cowichan,40,CA,1539129600,63,48.82,-124.05,62.6,4.7
170,iramuco,75,MX,1539128880,60,19.95,-100.92,69.8,11.41
171,butaritari,0,KI,1539133703,100,3.07,172.79,83.97,8.59
172,garoua boulai,68,CM,1539133703,97,5.88,14.55,64.62,3.22
173,cherskiy,44,RU,1539133703,98,68.75,161.3,28.66,1.88
174,kaitangata,92,NZ,1539133703,100,-46.28,169.85,45.0,17.09
175,fort nelson,75,CA,1539129600,64,58.81,-122.69,35.6,3.11
176,port alfred,0,ZA,1539133703,96,-33.59,26.89,65.25,2.71
177,vardo,1,US,1539132420,94,39.62,-77.74,75.92,6.02
178,ostrovnoy,64,RU,1539133471,92,68.05,39.51,37.66,16.58
179,svetlaya,0,RU,1539133704,100,46.54,138.33,50.22,5.84
180,kaniama,36,CD,1539133704,97,-7.57,24.18,64.62,2.26
181,nantucket,40,US,1539132480,100,41.28,-70.1,68.0,6.93
182,natal,40,BR,1539133200,74,-5.81,-35.21,78.8,11.41
183,nouadhibou,20,MR,1539129600,83,20.93,-17.03,73.4,13.87
184,itarema,0,BR,1539133704,71,-2.92,-39.92,79.74,17.58
185,tual,0,ID,1539133705,100,-5.67,132.75,80.68,6.51
186,beringovskiy,92,RU,1539133705,99,63.05,179.32,45.04,24.25
187,churapcha,80,RU,1539133705,84,62.0,132.43,27.63,4.0
188,marevo,0,BA,1539129600,100,43.57,18.7,46.4,1.99
189,kamenka,68,RU,1539133705,93,53.19,44.05,40.36,3.04
190,amazar,36,RU,1539133706,74,53.86,120.88,26.68,2.26
191,khartoum,0,SD,1539131400,45,15.59,32.54,86.0,4.7
192,east london,0,ZA,1539133706,96,-33.02,27.91,70.83,8.81
193,westport,88,IE,1539133706,95,53.8,-9.52,56.29,19.66
194,alexandria,90,US,1539131700,92,31.31,-92.44,77.0,7.63
195,desna,0,UA,1539131400,90,50.92,30.77,35.6,2.24
196,mildura,80,AU,1539133707,77,-34.18,142.16,59.4,18.21
197,sitka,80,US,1539133707,94,37.17,-99.65,45.76,17.09
198,kabo,44,CF,1539133708,89,7.69,18.62,73.03,2.77
199,mar del plata,76,AR,1539133708,48,-46.43,-67.52,46.66,18.21
200,georgetown,20,GY,1539129600,88,6.8,-58.16,78.8,6.93
201,naze,92,NG,1539133708,98,5.43,7.07,70.69,2.77
202,wake forest,75,US,1539132780,93,35.98,-78.51,75.38,5.82
203,naro,0,IT,1539133709,100,37.29,13.79,60.21,5.57
204,zhangye,36,CN,1539133709,45,38.94,100.46,33.93,6.29
205,nenita,68,PH,1539133709,100,12.49,124.8,80.91,3.04
206,hasaki,40,JP,1539132600,64,35.73,140.83,75.2,8.05
207,puerto ayora,0,EC,1539129600,73,-0.74,-90.35,73.4,16.11
208,hualmay,20,PE,1539133709,93,-11.1,-77.61,60.3,4.05
209,gbadolite,56,CD,1539133710,100,4.28,21.0,70.02,3.04
210,mahebourg,40,MU,1539129600,88,-20.41,57.7,71.6,10.29
211,slave lake,90,CA,1539129600,79,55.28,-114.77,26.6,12.75
212,mareeba,20,AU,1539131400,54,-16.99,145.42,82.4,8.05
213,kangaatsiaq,80,GL,1539133710,100,68.31,-53.46,29.29,6.06
214,fruitville,75,US,1539132780,76,36.62,-91.77,75.02,6.93
215,te anau,92,NZ,1539133711,100,-45.41,167.72,42.16,4.05
216,meulaboh,0,ID,1539133711,100,4.14,96.13,78.21,3.71
217,tasiilaq,12,GL,1539132600,63,65.61,-37.64,30.2,4.7
218,tateyama,75,JP,1539129600,60,36.66,137.31,71.6,10.29
219,kholtoson,0,RU,1539133711,59,50.3,103.31,11.88,2.33
220,lebu,40,ET,1539129600,71,8.96,38.73,53.6,4.7
221,karpathos,0,GR,1539130800,68,35.51,27.21,69.8,20.8
222,grand gaube,40,MU,1539129600,88,-20.01,57.66,71.6,10.29
223,mount gambier,32,AU,1539133712,81,-37.83,140.78,54.76,8.41
224,saint-philippe,75,CA,1539132900,84,45.36,-73.48,75.2,8.05
225,morro bay,1,US,1539129360,63,35.37,-120.85,71.06,11.41
226,nurobod,0,UZ,1539131400,81,40.91,69.8,50.0,6.93
227,manta,0,RO,1539133713,82,45.1,24.1,43.38,2.33
228,tapejara,44,BR,1539133713,92,-23.73,-52.87,72.54,4.05
229,faanui,12,PF,1539133713,100,-16.48,-151.75,81.18,2.59
230,hofn,44,IS,1539133713,100,64.25,-15.21,42.16,7.58
231,lichinga,20,MZ,1539133713,87,-13.3,35.25,53.37,2.77
232,rocha,0,UY,1539133714,60,-34.48,-54.34,53.82,9.93
233,kruisfontein,0,ZA,1539133714,93,-34.0,24.73,60.84,6.4
234,ancud,24,CL,1539133714,71,-41.87,-73.83,44.73,6.13
235,yeppoon,20,AU,1539131400,54,-23.13,150.74,80.6,9.17
236,chapais,90,CA,1539132180,93,49.78,-74.86,39.2,6.93
237,plainfield,75,US,1539132660,69,39.7,-86.4,78.98,4.7
238,emerald,8,AU,1539133566,35,-23.53,148.16,86.71,12.95
239,saint-jean-de-braye,0,FR,1539133200,87,47.92,1.97,51.8,4.7
240,shimoda,40,JP,1539129600,83,34.7,138.93,73.4,10.29
241,aklavik,90,CA,1539131760,92,68.22,-135.01,24.8,3.36
242,nome,75,US,1539132900,88,30.04,-94.42,79.7,4.7
243,betanzos,0,ES,1539133200,87,43.28,-8.21,53.6,9.17
244,kahului,20,US,1539129360,55,20.89,-156.47,87.98,27.51
245,brainerd,90,US,1539131820,93,46.36,-94.2,42.08,10.29
246,caravelas,80,BR,1539133716,100,-17.73,-39.27,77.44,18.88
247,chuy,0,UY,1539133531,77,-33.69,-53.46,57.87,18.21
248,saint george,20,GR,1539130800,87,39.45,22.34,53.6,5.82
